Concurso;Data Sorteio;Dezena_1;Dezena_2;Dezena_3;Dezena_4;Dezena_5;Dezena_6;Arrecadacao_Total;Ganhadores_Sena;Cidade;UF;Rateio_Sena;Ganhadores_Quina;Rateio_Quina;Ganhadores_Quadra;Rateio_Quadra;Acumulado;Valor_Acumulado;Estimativa_Prêmio;Acumulado_Mega_da_Virada
51;23/02/1997;23;24;42;25;17;47;0;0;;;0;143;7.231,47;9361;110,25;SIM;10.158.749,73;0;0
52;03/02/97;58;15;59;30;38;46;0;0;;;0;77;15.544,23;6442;185,43;SIM;11.595.036,71;0;0
53;03/09/97;42;13;3;46;38;16;0;0;;;0;210;6.337,79;10941;121,41;SIM;13.192.159,46;0;0
54;16/03/1997;5;21;9;56;18;36;0;2;;BA;7.469.653,99;207;7.033,61;13067;111,2;NÃO;0;0;0
;;;;;;;;;;;SP;;;;;;;;;
55;23/03/1997;29;2;14;38;23;52;0;0;;;0;66;10.817,63;3840;185,56;SIM;856.756,39;0;0
56;30/03/1997;51;35;59;7;20;2;0;0;;;0;48;12.142,20;2599;223,81;SIM;1.556.147,46;0;0
57;04/06/97;27;17;16;34;7;59;0;0;;;0;79;10.699,10;6173;136,65;SIM;2.570.421,80;0;0
58;13/04/1997;30;49;27;37;12;44;0;1;;SP;3.631.304,91;65;13.601,07;5040;175,06;NÃO;0;0;0
59;20/04/1997;28;13;34;2;8;54;0;0;;;0;90;7.312,34;5351;122,75;SIM;789.733,42;0;0
60;27/04/1997;38;14;21;15;3;20;0;0;;;0;129;7.111,47;7914;115,69;SIM;9.478.249,26;0;0
61;05/04/97;59;8;18;29;42;44;0;0;;;0;52;18.902,94;3866;253,76;SIM;10.657.792,45;0;0
62;05/11/97;52;13;6;24;8;31;0;0;;;0;119;9.968,70;8613;137,46;SIM;12.081.323,45;0;0
63;18/05/1997;26;9;41;49;25;40;0;1;;MG;13.680.019,57;82;16.246,91;6359;209,1;NÃO;0;0;0
64;25/05/1997;8;54;50;60;23;12;0;0;;;0;29;23.309,96;2441;276,38;SIM;811.186,58;0;0
65;06/01/97;20;1;5;32;25;34;0;0;;;0;61;11.542,37;4932;142,48;SIM;1.656.088,09;0;0
66;06/08/97;15;26;12;33;48;13;0;0;;;0;102;8.054,25;7686;106,68;SIM;2.641.927,81;0;0
67;15/06/1997;47;14;27;52;17;12;0;0;;;0;83;10.617,25;5479;160,52;SIM;3.699.406,44;0;0
68;22/06/1997;53;13;3;1;12;59;0;0;;;0;49;18.496,73;4758;190,11;SIM;4.787.014,46;0;0
69;29/06/1997;56;58;34;53;25;45;0;0;;;0;55;17.271,48;3661;258,96;SIM;5.926.931,93;0;0
70;07/06/97;40;17;23;43;27;58;0;0;;;0;95;12.899,52;6071;201,46;SIM;14.883.849,29;0;0
71;13/07/1997;53;16;45;43;33;27;0;0;;;0;115;12.451,74;7430;192,35;SIM;16.602.188,45;0;0
72;20/07/1997;19;48;43;1;34;44;0;0;;;0;85;19.676,33;7982;209,13;SIM;18.609.174,26;0;0
73;27/07/1997;57;25;45;28;51;26;0;1;;BA;21.026.575,40;95;21.205,27;8222;244,52;NÃO;0;0;0
74;08/03/97;2;24;34;50;38;37;0;0;;;0;40;18.257,68;3321;219,48;SIM;876.368,71;0;0
75;08/10/97;36;49;37;35;24;21;0;0;;;0;70;12.395,02;5032;172,09;SIM;1.917.550,02;0;0
76;17/08/1997;33;18;23;8;17;53;0;0;;;0;92;10.247,61;6399;147,04;SIM;3.048.886,14;0;0
77;24/08/1997;29;54;40;57;49;21;0;0;;;0;20;49.648,81;2635;376,09;SIM;4.240.457,60;0;0
78;31/08/1997;22;32;46;12;25;31;0;0;;;0;103;9.907,36;5984;170,19;SIM;5.465.006,39;0;0
79;09/07/97;43;25;2;13;31;17;0;1;;RS;6.770.601,75;247;4.404,85;13375;81,18;NÃO;0;0;0
80;14/09/1997;51;40;37;23;48;28;0;0;;;0;43;26.443,00;4284;264,89;SIM;10.953.707,53;0;0
81;21/09/1997;47;41;10;60;54;23;0;0;;;0;62;19.453,15;4870;247,17;SIM;12.401.021,68;0;0
82;28/09/1997;51;36;53;29;18;15;0;1;;BA;13.877.826,02;77;15.982,73;5889;208,57;NÃO;0;0;0
83;10/05/97;24;16;4;42;57;15;0;0;;;0;76;9.408,43;4756;150,04;SIM;858.048,93;0;0
84;10/12/97;10;34;4;6;25;40;0;0;;;0;102;7.539,68;5546;138,4;SIM;1.780.905,80;0;0
85;19/10/1997;47;15;30;37;45;6;0;0;;;0;45;17.279,25;4312;179,96;SIM;2.713.984,86;0;0
86;26/10/1997;54;21;6;34;36;22;0;0;;;0;48;16.752,96;3752;213,9;SIM;3.678.955,17;0;0
87;11/02/97;40;4;28;32;11;5;0;0;;;0;64;12.696,60;5195;156,11;SIM;4.654.053,86;0;0
88;11/09/97;45;37;29;4;43;18;0;0;;;0;110;7.965,82;6805;128,51;SIM;5.705.540,99;0;0
89;16/11/1997;59;42;34;13;44;55;0;0;;;0;36;24.246,00;3847;226,45;SIM;6.752.968,26;0;0
90;23/11/1997;21;26;40;54;9;52;0;1;;RJ;15.764.300,87;74;18.584,49;4763;288,17;NÃO;0;0;0
91;30/11/1997;60;4;10;35;39;2;0;0;;;0;68;9.588,80;3878;167,81;SIM;782.445,93;0;0
92;12/07/97;5;23;51;3;1;24;0;0;;;0;75;9.792,64;5530;132,56;SIM;1.663.783,45;0;0
93;14/12/1997;22;53;31;28;2;36;0;0;;;0;61;12.369,31;3795;198,44;SIM;2.569.217,31;0;0
94;21/12/1997;28;51;55;18;52;8;0;0;;;0;25;31.457,49;2086;376,26;SIM;3.512.942,16;0;0
95;28/12/1997;46;60;6;40;50;45;0;0;;;0;22;30.807,89;2185;309,58;SIM;4.326.270,55;0;0
96;01/04/98;4;42;58;26;7;40;0;1;;;5.218.562,47;62;11.993,17;3984;186,27;NÃO;0;0;0
97;01/11/98;56;53;11;14;5;35;0;1;;;727.932,66;56;10.832,33;3441;175,94;NÃO;0;0;0
98;18/01/1998;43;33;14;31;35;13;0;0;;;0;89;6.508,88;4972;116,28;SIM;695.149,05;0;0
99;25/01/1998;30;33;24;11;46;60;0;0;;;0;46;14.037,92;3015;213,76;SIM;1.470.041,96;0;0
